icon,precipIntensity,apparentTemperature,cloudCover,ozone,visibility,humidity,windBearing,precipType,pressure,windGust,temperature,time,precipAccumulation,windSpeed,uvIndex,precipProbability,summary,dewPoint,city,local_time,demand,region,hour,day_of_week,day_name,month,month_name,year,season,time_of_day,week,anomaly_score,is_anomaly
clear-night,0.0009,85.71,0.0,287.5,10.0,0.78,141.0,rain,1014.8,18.78,80.84,2019-07-30 06:00:00,0.0087,11.43,0.0,0.01,Humid,73.33,san antonio,2019-07-30 06:00:00,6977.0,SCEN,6,1,Tuesday,7,July,2019,Summer,Morning,31,1,False
cloudy,0.0,52.21,0.93,271.4,10.0,0.62,118.0,rain,1022.0,9.25,52.21,2019-01-31 01:00:00,0.0087,5.03,0.0,0.0,Overcast,39.55,san antonio,2019-01-31 01:00:00,7126.32712168837,SCEN,1,3,Thursday,1,January,2019,Winter,Night,5,1,False
clear-day,0.0,59.5,0.0,312.1,10.0,0.44,290.0,rain,1021.2,13.36,59.5,2020-01-11 19:00:00,0.0087,5.92,4.0,0.0,Clear,37.27,san antonio,2020-01-11 19:00:00,6172.0,SCEN,19,5,Saturday,1,January,2020,Winter,Evening,2,1,False
clear-day,0.0,34.14,0.0,281.6,10.0,0.75,52.0,rain,1030.0,15.51,40.03,2020-02-14 15:00:00,0.0087,8.98,1.0,0.0,Clear,32.86,san antonio,2020-02-14 15:00:00,5834.0,SCEN,15,4,Friday,2,February,2020,Winter,Afternoon,7,1,False
rain,0.0112,66.88,0.65,311.0,9.644,0.94,99.0,rain,1011.0,8.05,66.12,2020-05-14 12:00:00,0.0087,3.67,0.0,0.32,Possible Light Rain,64.49,san antonio,2020-05-14 12:00:00,7333.0,SCEN,12,3,Thursday,5,May,2020,Spring,Afternoon,20,1,False
clear-day,0.0,91.37,0.01,289.9,10.0,0.42,105.0,rain,1019.3,8.27,90.07,2019-07-27 18:00:00,0.0087,8.27,11.0,0.0,Clear,63.68,san antonio,2019-07-27 18:00:00,10675.0,SCEN,18,5,Saturday,7,July,2019,Summer,Evening,30,1,False
partly-cloudy-night,0.0105,77.44,0.79,274.4,9.898,0.93,139.0,rain,1011.5,18.96,75.77,2018-10-07 10:00:00,0.0087,6.77,0.0,0.04,Humid and Mostly Cloudy,73.69,san antonio,2018-10-07 10:00:00,7891.554047942108,SCEN,10,6,Sunday,10,October,2018,Fall,Morning,40,1,False
clear-night,0.0,73.93,0.26,305.3,10.0,0.84,30.0,rain,1013.7,6.93,72.97,2019-06-25 05:00:00,0.0087,5.56,0.0,0.0,Clear,67.92,san antonio,2019-06-25 05:00:00,5024.0,SCEN,5,1,Tuesday,6,June,2019,Summer,Morning,26,1,False
clear-night,0.0015,78.18,0.11,268.4,10.0,0.89,83.0,rain,1014.5,8.98,76.65,2019-10-03 09:00:00,0.0087,4.43,0.0,0.01,Humid,73.03,san antonio,2019-10-03 09:00:00,7251.0,SCEN,9,3,Thursday,10,October,2019,Fall,Morning,40,1,False
clear-night,0.0,34.45,0.02,286.5,10.0,0.74,30.0,rain,1026.2,4.6,36.73,2019-02-13 13:00:00,0.0087,3.17,0.0,0.0,Clear,29.15,san antonio,2019-02-13 13:00:00,8284.234643179765,SCEN,13,2,Wednesday,2,February,2019,Winter,Afternoon,7,1,False
clear-day,0.0,59.85,0.0,289.4,10.0,0.32,330.0,rain,1021.4,30.24,59.85,2019-01-19 20:00:00,0.0087,20.32,4.0,0.0,Clear,29.98,san antonio,2019-01-19 20:00:00,9185.603024148048,SCEN,20,5,Saturday,1,January,2019,Winter,Evening,3,1,False
